Keywords,TweetID,AuthorID,Hashtags,Tweet Created at,Tweet Text,Likes,Reply,Retweets,Polarity
#barackobama,1495760000000000000,826421000000000000,Opinion BarackObama,2022-02-21 13:59:04+00:00,"RT @ElAmerican_: #Opinion | #BarackObama and his puppets should be investigated. If there is justice, they should be found guilty of treaso…",0,0,14,-0.5
#RonaldReagan,1494990000000000000,3746304743,RonaldReagan,2022-02-19 10:40:36+00:00,"#RonaldReagan, il presidente che incarnò l’American Dream https://t.co/705X4a8CTj via @AmeGaspa",0,0,1,0.0
#Blinken,1495830000000000000,304638817,Blinken,2022-02-21 18:50:15+00:00,RT @AnthropoceneM: #Blinken—we are on the brink of invasion. https://t.co/JYeBMGx1G5,0,0,11,0.0
#georgebush,1495900000000000000,767018574,GeorgeBush WeaponsOfMassdestruction Rutte Groningen toeslagenaffaire,2022-02-21 23:15:12+00:00,"@locuta @RobertZieltjens Zo is #GeorgeBush ooit uit een kinderklas gehaald en daarna de Irak oorlog begonnen vanwege de #WeaponsOfMassdestruction. Die er niet waren.
Honderdduizenden doden.
Poets niet uit wat #Rutte ervoor over heeft om in het torentje te blijven.
Zie #Groningen 
Zie #toeslagenaffaire",4,0,1,0.0
#Blinken,1496250000000000000,897453000000000000,Blinken Lavrov Ginebra,2022-02-22 22:39:13+00:00,"RT @Finanzas_Times: 🇺🇸 Estados Unidos | #Blinken dice que la reunión con #Lavrov en #Ginebra se ha cancelado porque ""la invasión de Ucrania…",0,0,27,0.0
#barackobama,1495770000000000000,864266000000000000,NULL,2022-02-21 14:41:09+00:00,"RT @OhJustTalk: Black History Day 21: 

Happy Presidents Day to the first Black President of the United States of America! ✊🏾

Barack Obama…",0,0,150,0.16875
#barackobama,1496090000000000000,3102929192,AskiaMuhammad MuhammadSpeaks,2022-02-22 12:10:01+00:00,"RT @RMFinalCall: Tribute to #AskiaMuhammad, former editor of #MuhammadSpeaks, senior editor @finalcallnewspaper and the photog of only imag…",0,0,24,0.0
#Blinken,1495820000000000000,711314000000000000,FakeNewsCNN Blinken Sullivan,2022-02-21 18:11:34+00:00,#FakeNewsCNN still spreading anti-Russian hate propaganda.🙄 Does anyone care what they say or lying #Blinken or #Sullivan say? 🤔🤡,1,0,0,-0.8
#Blinken,1495830000000000000,1319590000000000000,Blinken,2022-02-21 18:37:30+00:00,"RT @BranaaJean: #Blinken déclare qu'il est ""hors de question"" de reconnaître l'annexion de la Crimée et des territoires de l'est par la #Ru…",0,0,19,0.0
#barackobama,1496070000000000000,1433020000000000000,AskiaMuhammad MuhammadSpeaks,2022-02-22 10:40:58+00:00,"RT @RMFinalCall: Tribute to #AskiaMuhammad, former editor of #MuhammadSpeaks, senior editor @finalcallnewspaper and the photog of only imag…",0,0,24,0.0
#barackobama,1494840000000000000,906552000000000000,obama barack barackobama collectible president shepardfairey,2022-02-19 01:09:44+00:00,Check out Barack Obama Art Print Poster Limited Signed Shepard Fairey Be The Change Framed https://t.co/jixalvysH5 @eBay #obama #barack #barackobama #collectible #president #shepardfairey,1,0,0,-0.285714286
#barackobama,1495770000000000000,1400660000000000000,NULL,2022-02-21 14:38:02+00:00,"RT @OhJustTalk: Black History Day 21: 

Happy Presidents Day to the first Black President of the United States of America! ✊🏾

Barack Obama…",0,0,150,0.16875
#Blinken,1496260000000000000,167708017,Blinken Geneva Russian Lavrov,2022-02-22 22:47:16+00:00,RT @Ruptly: BREAKING: #Blinken confirms #Geneva meeting with #Russian FM #Lavrov will not go ahead on Thursday 'given the circumstances',0,0,8,0.0
#barackobama,1494990000000000000,778500000000000000,NULL,2022-02-19 10:45:16+00:00,"RT @bibliogarage: Soon I’ll finish my library catalogue and sorting into sections, and stop buying duplicates secondhand. In the meantime,…",0,0,2,-0.1
#Blinken,1495550000000000000,3091715073,Blinken,2022-02-21 00:23:59+00:00,"RT @BranaaJean: #Blinken déclare qu'il est ""hors de question"" de reconnaître l'annexion de la Crimée et des territoires de l'est par la #Ru…",0,0,19,0.0
#Blinken,1495570000000000000,800491000000000000,ÚltimoMinuto Macron Putin Biden Ucrania,2022-02-21 01:25:03+00:00,"RT @PaolaPteleSUR: #ÚltimoMinuto  Pdte. #Macron anuncia que #Putin y #Biden han aceptado ""el principio"" de una cumbre sobre #Ucrania; el co…",0,0,5,0.0
